y5 x0 1
y12 x6 x2
y10 x1 y12
y17 x6
t0 x5 x3
y1 t0 x0
y3 y1 x1
y9 y3 x3
y4 y5 y9
y19 t0 x6
t1 x7 x4
y8 x5 t1
y0 y1 y8
y2 y12 y0
y15 y3 y2
y16 y17 y15
y11 y9 y16
t2 x7 y1
y7 y11 t2
y6 y16 y7
y14 y5 y7
y13 y11 y14
y18 y3 y7
t3 x7 x2
y20 t0 t3
t4 y7 y3
t5 y16 y15
t6 y6 y2
t7 y13 y12
t8 y11 y10
t9 y14 x1
t10 y5 y1
t11 y9 y8
t12 y4 y0
t13 t10 t12
t14 t13 t6
t15 t10 t11
t16 t15 t4
t17 t14 t5
t18 t17 t9
t19 t18 t7
t20 t19 y20
t21 t16 t6
t22 t21 t9
t23 t22 t8
t24 t23 y19
t25 t14 t4
t26 t25 y18
t27 t16 t5
t28 t27 y17
t29 t20 t24
t30 t24 t28
t31 t26 t30
t32 t29 t31
t33 t20 t32
t34 t26 t28
t35 t20 t30
t36 t34 t35
t37 t26 t36
t38 t28 t37
t39 t31 t37
t40 t26 t39
t41 t40 t38
t42 t31 t40
t43 t33 t42
t44 t43 t29
t45 t37 t41
t46 t37 t33
t47 t41 t44
t48 t46 t47
t49 t33 t44
z17 t37 y3
z16 t45 y15
z15 t41 y2
z14 t48 y10
z13 t47 y12
z12 t46 x1
z11 t33 y1
z10 t49 y8
z9 t44 y0
z8 t37 y7
z7 t45 y16
z6 t41 y6
z5 t48 y11
z4 t47 y13
z3 t46 y14
z2 t33 y5
z1 t49 y9
z0 t44 y4
e11 z17 z16
e10 z15 z16
e9 z12 z13
e8 z12 z14
e7 z11 z10
e6 z9 z10
e5 z8 z7
e4 z6 z7
e3 z3 z4
e2 z3 z5
e1 z2 z1
e0 z0 z1
s4 e10 e8
t50 e9 e7
t51 e1
t52 e3 t51
t53 e11 e9
s3 t52 t53
t54 e4 e0
s5 t50 t54
s7 s3 t54
t55 e5 t50
s2 e3 t55
t56 s4 t52
s6 t50 t56
t57 e10 e6
s0 t57
t58 e4 e2
t59 s2 t56
s1 t58 t59
